k;j;temps1;1;11.029
1;11;8.191
1;21;8.204
1;31;7.808
1;41;7.864
1;51;8.692
1;61;8.42
1;71;7.993
1;81;8.209
1;91;8.502
2;2;4.59
2;3;6.202
2;4;6.539
2;5;6.326
2;6;6.244
2;7;6.126
2;8;6.524
2;9;6.338
2;10;6.191
2;11;6.472
2;12;5.868
2;13;6.545
2;14;6.054
2;15;6.133
2;16;6.214
2;17;6.023
2;18;5.877
2;19;6.072
2;20;5.729
2;21;5.956
4;2;5.665
4;3;5.461
4;4;5.343
4;5;5.301
4;6;4.969
4;7;5.412
4;8;5.122
4;9;4.814
4;10;5.102
4;11;5.179
4;12;5.047
4;13;5.013
4;14;4.901
4;15;4.842
4;16;4.989
4;17;4.825
4;18;4.844
4;19;4.869
4;20;4.914
4;21;5.047
6;2;5.093
6;3;5.119
6;4;5.213
6;5;5.026
6;6;4.774
6;7;5.021
6;8;4.475
6;9;4.981
6;10;4.731
6;11;4.819
6;12;4.818
6;13;4.599
6;14;4.605
6;15;4.648
6;16;4.632
6;17;4.634
6;18;4.216
6;19;4.572
6;20;4.632
6;21;4.584
8;2;4.863
8;3;4.799
8;4;4.702
8;5;4.729
8;6;4.719
8;7;4.667
8;8;4.791
8;9;4.901
8;10;4.746
8;11;4.678
8;12;4.638
8;13;4.602
8;14;4.465
8;15;4.543
8;16;4.439
8;17;4.341
8;18;4.638
8;19;4.703
8;20;4.905
8;21;4.446
10;2;4.455
10;3;4.479
10;4;4.629
10;5;4.515
10;6;4.545
10;7;4.421
10;8;4.501
10;9;4.528
10;10;4.475
10;11;4.698
10;12;4.344
10;13;4.584
10;14;4.473
10;15;4.442
10;16;4.43
10;17;4.517
10;18;4.301
10;19;4.535
10;20;4.294
10;21;4.576
11;1;4.609
11;11;4.54
11;21;4.22
11;31;4.568
11;41;4.538
11;51;4.265
11;61;4.432
11;71;4.558
11;81;4.344
11;91;4.34
12;2;4.445
12;3;4.418
12;4;4.327
12;5;4.476
12;6;4.612
12;7;4.4
12;8;4.545
12;9;4.405
12;10;4.396
12;11;4.425
12;12;4.371
12;13;4.411
12;14;4.283
12;15;4.223
12;16;4.421
12;17;5.977
12;18;4.288
12;19;4.358
12;20;4.314
12;21;4.593
14;2;4.307
14;3;4.173
14;4;4.497
14;5;4.366
14;6;4.395
14;7;4.147
14;8;4.262
14;9;4.352
14;10;4.5
14;11;4.242
14;12;4.506
14;13;4.417
14;14;4.52
14;15;4.326
14;16;4.52
14;17;4.513
14;18;4.322
14;19;4.473
14;20;4.577
14;21;4.465
16;2;4.385
16;3;4.417
16;4;4.387
16;5;4.379
16;6;4.394
16;7;4.201
16;8;4.386
16;9;4.445
16;10;4.437
16;11;4.649
16;12;4.646
16;13;4.655
16;14;4.304
16;15;4.513
16;16;4.585
16;17;4.324
16;18;4.436
16;19;4.461
16;20;4.502
16;21;4.48
18;2;4.877
18;3;4.69
18;4;4.714
18;5;4.688
18;6;4.717
18;7;4.878
18;8;4.871
21;1;4.905
21;11;4.592
21;21;4.623
21;31;4.542
21;41;4.697
21;51;4.73
21;61;4.778
21;71;4.792
21;81;4.953
21;91;4.949
31;1;4.551
31;11;4.422
31;21;4.679
41;1;4.313
41;11;4.126
41;21;4.172
41;31;4.575
41;41;4.202
41;51;4.364
41;61;4.176
41;71;4.727
41;81;4.63
41;91;4.416
51;1;4.109
51;11;4.415
51;21;4.041
51;31;4.438
51;41;4.37
51;51;4.537
51;61;4.726
51;71;4.111
51;81;4.244
51;91;4.281
61;1;4.171
61;11;4.444
61;21;4.449
61;31;4.591
61;41;4.652
61;51;4.421
61;61;4.495
61;71;4.344
71;1;4.313
71;11;4.163
71;21;4.485
71;31;4.478
71;41;4.375
71;51;4.792
71;61;4.227
71;71;4.208
71;81;4.241
71;91;4.874
81;1;4.447
81;11;4.629
81;21;4.386
