k;j;temps5;10;24.375
5;15;24.555
5;20;24.292
5;25;23.894
5;30;24.912
5;35;24.926
5;40;26.496
5;45;25.439
5;50;25.298
5;55;25.345
10;5;19.223
10;10;18.938
10;15;21.757
10;20;18.78
10;25;20.071
10;30;18.328
10;35;19.098
10;40;18.685
10;45;20.827
10;50;18.77
10;55;21.108
15;5;15.771
15;10;12.85
15;15;14.062
15;20;15.231
15;25;14.548
15;30;15.243
15;35;16.477
15;40;16.203
15;45;14.866
15;50;14.921
15;55;16.449
20;5;14.086
20;10;13.211
20;15;13.191
20;20;12.79
20;25;12.571
20;30;14.471
20;35;14.745
20;40;13.869
20;45;14.927
20;50;13.334
20;55;15.378
25;5;12.936
25;10;12.213
25;15;11.467
25;20;11.678
25;25;12.616
25;30;12.188
25;35;12.973
25;40;12.663
25;45;12.202
25;50;12.898
25;55;12.005
30;5;13.317
30;10;12.062
30;15;12.269
30;20;12.055
30;25;11.992
30;30;11.611
30;35;11.217
30;40;11.879
30;45;11.476
30;50;11.519
30;55;11.62
35;5;12.914
35;10;11.683
35;15;11.023
35;20;12.394
35;25;11.54
35;30;10.861
35;35;11.27
35;40;10.897
35;45;10.781
35;50;11.899
35;55;11.402
40;5;12.281
40;10;11.462
40;15;11.492
40;20;11.242
40;25;10.673
40;30;11.667
40;35;10.951
40;40;11.299
40;45;11.064
40;50;10.544
40;55;11.619
45;5;11.717
45;10;11.117
60;1;13.198
60;4;12.684
60;7;11.923
64;1;12.941
64;4;12.958
64;7;12.259
68;1;14.496
68;4;12.645
68;7;12.904
72;1;14.38
72;4;13.073
72;7;12.107
75;3;12.458
75;6;12.403
76;1;13.789
76;4;13.243
76;7;12.974
79;3;12.293
79;6;12.945
80;1;13.938
80;4;12.944
80;7;13.295
83;3;13.343
83;6;12.938
84;1;13.579
84;4;12.867
84;7;12.805
87;3;13.214
87;6;13.1
88;1;13.199
88;4;12.775
88;7;13.262
91;3;12.846
91;6;12.892
95;3;13.136
95;6;13.106
99;3;13.559
99;6;12.627
